split,case_id,frames,strict_human3r_forward_seconds,strict_human3r_forward_fps,causal_detector_seconds,causal_detector_fps,whole_multi_method_protocol_seconds,frozen_candidate_postprocess_seconds,frozen_candidate_postprocess_fps,process_peak_host_rss_gib,gpu,precision
development,egobody_recording_20210929_S15_S11_03_medium_kinect_12_kinect_11_b01946,150,41.99904929380864,3.5715094156217604,16.472916995175183,9.105855389420956,342.25556093640625,0.14047500770539045,1067.805600798298,12.881973266601562,NVIDIA L20,FP32
development,egobody_recording_20210929_S15_S11_03_small_kinect_12_kinect_13_b01946,150,43.05066700279713,3.4842665733902347,18.109680488705635,8.282862864065972,319.2489690100774,2.769897038117051,54.1536374586575,12.904376983642578,NVIDIA L20,FP32
development,egobody_recording_20210929_S16_S05_01_extreme_kinect_13_kinect_11_b03136,150,41.50893482752144,3.6136798167257793,15.760282851755619,9.517595680923375,286.0743658747524,0.15261836908757687,982.843683213032,12.81436538696289,NVIDIA L20,FP32
development,egobody_recording_20210929_S16_S05_01_medium_kinect_11_kinect_12_b03136,150,45.55082237254828,3.29302506929928,16.694354590028524,8.985073318713049,290.1877338141203,1.349500318057835,111.15225242471674,12.900390625,NVIDIA L20,FP32
development,egobody_recording_20210929_S16_S05_01_small_kinect_13_kinect_12_b03136,150,42.81424661260098,3.50350670320688,16.726404606364667,8.96785672295184,289.1508840620518,0.17729316465556622,846.0563061830973,12.895877838134766,NVIDIA L20,FP32
development,egobody_recording_20211002_S15_S17_01_extreme_kinect_11_kinect_13_b03246,150,42.23948310315609,3.5511798199252147,18.523447297513485,8.097844725702618,315.00022116675973,0.1315643284469843,1140.1266724091145,12.928367614746094,NVIDIA L20,FP32
development,egobody_recording_20211002_S15_S17_01_medium_kinect_12_kinect_13_b03246,150,42.17630178947002,3.556499589479177,18.471542490646243,8.120599569633024,305.43244793638587,0.11981971561908722,1251.8807879402534,12.855712890625,NVIDIA L20,FP32
development,egobody_recording_20211002_S15_S17_01_small_kinect_11_kinect_12_b03246,150,42.51364941522479,3.5282786131807047,18.00266421865672,8.332100081306319,275.05230611003935,0.16493140626698732,909.4689931715207,12.87057113647461,NVIDIA L20,FP32
development,egobody_recording_20211002_S15_S17_02_extreme_kinect_13_kinect_11_b02431,150,42.636731901206076,3.518093280403532,18.81619205418974,7.9718574070676524,271.7169367065653,0.1310686133801937,1144.4387495341207,12.892356872558594,NVIDIA L20,FP32
development,egobody_recording_20211002_S15_S17_02_medium_kinect_12_kinect_13_b02431,150,43.948286565952,3.4131023464338948,19.3017452750355,7.771317974753664,267.4205112522468,0.11171538196504116,1342.6978215671245,12.842849731445312,NVIDIA L20,FP32
development,egobody_recording_20211002_S15_S17_02_small_kinect_12_kinect_11_b02431,150,42.07584939338267,3.5649904199816516,17.792961259372532,8.43029992666267,275.7996663171798,0.13245692383497953,1132.4436326701682,12.939132690429688,NVIDIA L20,FP32
development,egobody_recording_20211002_S18_S03_01_extreme_kinect_13_kinect_11_b01651,150,43.024675246328115,3.4863714633802276,17.812852442264557,8.420886013971293,281.3477632198483,0.17191500030457973,872.5242110010576,12.905357360839844,NVIDIA L20,FP32
development,egobody_recording_20211002_S18_S03_01_medium_kinect_12_kinect_13_b01651,150,42.66902409400791,3.515430764704665,19.416617651470006,7.725341390169658,306.83573331777006,0.12423765286803246,1207.3634404485474,12.825328826904297,NVIDIA L20,FP32
development,egobody_recording_20211002_S18_S03_01_small_kinect_12_kinect_11_b01651,150,43.416635260917246,3.4548969329050445,15.359464376233518,9.765965552295082,295.6457771565765,0.1619379622861743,926.2806440340547,12.863971710205078,NVIDIA L20,FP32
development,egobody_recording_20211002_S18_S03_02_extreme_kinect_13_kinect_11_b02781,150,43.510070900432765,3.4474777194285853,16.854123765602708,8.899899044655909,298.2467958787456,0.11784302350133657,1272.8797644800645,12.913032531738281,NVIDIA L20,FP32
development,egobody_recording_20211002_S18_S03_02_medium_kinect_12_kinect_13_b02781,150,46.65467312838882,3.2151120121925527,18.6345780165866,8.049551745496212,287.2537030149251,0.15630583558231592,959.6570687279615,12.896102905273438,NVIDIA L20,FP32
development,egobody_recording_20211002_S18_S03_02_small_kinect_12_kinect_11_b02781,150,43.19045835733414,3.4729893060865984,16.510449356399477,9.085155513460315,293.25009712949395,0.12151486054062843,1234.4169209645563,12.885345458984375,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_01_extreme_kinect_11_kinect_13_b03136,150,42.338094730861485,3.542908601663187,17.377480844035745,8.631861047424639,275.7747918376699,2.5751847233623266,58.248248616569285,12.872222900390625,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_01_medium_kinect_13_kinect_12_b03136,150,43.27018862217665,3.4665899266064826,16.534086466766894,9.072167385933072,278.04065414331853,0.12635355908423662,1187.1450324561013,12.896358489990234,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_01_small_kinect_11_kinect_12_b03136,150,43.3692113570869,3.4586748365090743,19.52699873317033,7.681672030079891,278.1946471594274,0.2264723526313901,662.3325022111742,12.891674041748047,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_02_extreme_kinect_13_kinect_11_b02621,150,41.92874352168292,3.577498093221644,17.727487033233047,8.46143617077822,278.34995109401643,0.12774404138326645,1174.2230664987317,12.906963348388672,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_02_medium_kinect_12_kinect_13_b02621,150,44.29123569931835,3.386674533497121,17.765052441507578,8.443543890111405,272.87153654918075,0.8734244341030717,171.73781055717373,12.922279357910156,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_02_small_kinect_12_kinect_11_b02621,150,42.66634383704513,3.515651600542398,16.380442339926958,9.157261866755478,273.0571296270937,0.12411321885883808,1208.5739245116558,12.899314880371094,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_03_extreme_kinect_11_kinect_13_b03986,150,43.06996028497815,3.482705788617053,18.036162386648357,8.316625054952965,292.43553666584194,0.508966046385467,294.71514075498277,12.849178314208984,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_03_medium_kinect_13_kinect_12_b03986,150,42.8455162178725,3.5009497665342466,17.4625827614218,8.589794651188644,282.837950036861,0.15257432032376528,983.1274337758639,12.909751892089844,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_03_small_kinect_11_kinect_12_b03986,150,43.86887917481363,3.419280428895007,17.88996245339513,8.38458998395121,290.0107471924275,0.1324219461530447,1132.742754185471,12.849899291992188,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_04_extreme_kinect_11_kinect_13_b02011,150,45.004667500033975,3.332987628447355,18.252828488126397,8.217904424926587,298.5431389408186,0.1211779210716486,1237.8492606034215,12.865482330322266,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_04_medium_kinect_12_kinect_13_b02011,150,42.62727647088468,3.518873651298204,17.70522099547088,8.472077249889795,295.90255431924015,0.12732472829520702,1178.0900851578456,12.926898956298828,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_04_small_kinect_12_kinect_11_b02011,150,43.032564361579716,3.4857323105272067,22.04212944302708,6.805150127972403,287.1272671222687,0.12761911284178495,1175.3725336263826,12.865489959716797,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_05_extreme_kinect_13_kinect_11_b03406,150,44.19144265539944,3.394322316419615,16.542014027014375,9.067819659386005,286.93773716222495,0.13294177874922752,1128.313472343032,12.86334228515625,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_05_medium_kinect_12_kinect_13_b03406,150,43.77308982331306,3.4267628948622146,18.84108612779528,7.961324468376203,282.7271004533395,0.15612861886620522,960.7463454765001,12.826896667480469,NVIDIA L20,FP32
development,egobody_recording_20211004_S19_S06_05_small_kinect_11_kinect_12_b03406,150,41.37247416563332,3.625598976737045,18.421168471686542,8.142805937123423,293.3614421086386,0.12742595933377743,1177.1541747399563,12.872573852539062,NVIDIA L20,FP32
development,egobody_recording_20220215_S22_S21_01_extreme_kinect_15_kinect_14_b02706,150,41.498818431049585,3.6145607434396103,18.94561818614602,7.917398024504023,298.5888490630314,0.1748740468174219,857.7602150226912,12.919048309326172,NVIDIA L20,FP32
development,egobody_recording_20220215_S22_S21_01_medium_kinect_14_kinect_12_b02706,150,42.427891144528985,3.5354102208151414,19.21404926199466,7.806787520665913,288.10199098847806,0.17192877642810345,872.4542983223431,12.891181945800781,NVIDIA L20,FP32
development,egobody_recording_20220215_S22_S21_01_small_kinect_11_kinect_12_b02706,150,42.410442161373794,3.5368647992219158,19.391724861226976,7.7352582647209145,296.8042517704889,0.12204522360116243,1229.0526050424746,12.836463928222656,NVIDIA L20,FP32
