angle_stratum,scope,metric,estimate,ci95_low,ci95_high,available_clusters,total_clusters,bootstrap_samples,seed,availability_policy
small,case-macro,MPJPE_mm,240.87905991485022,199.84150605680182,283.3006633001306,17,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,PA-MPJPE_mm,118.7103756822159,99.06257274297666,139.78469023993904,17,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,MPVPE_mm,313.0632765749858,257.0660836637285,371.3381302454067,17,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,AdapterShared-W-MPJPE_mm,1102.3581256764664,679.0404371034012,1532.1650666554401,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,AdapterShared-WA-MPJPE_mm,334.4891788364496,256.4506099384235,426.7558067784686,17,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,ATE-Sim3_m,0.09395751206972568,0.05381653498612538,0.15027046387169224,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,ATE-SE3_m,0.18149086166957507,0.12368932405017814,0.24969261010152713,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,RPE-translation_m,0.01631443581400651,0.013025532204851647,0.020113042911678418,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,RPE-rotation_deg,0.1601245003826285,0.14028926026747035,0.17721841937523394,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,Camera-seam-translation_m,1.205157950636793,1.041834400953196,1.3688441654675465,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,Camera-seam-rotation_deg,13.171488688550955,12.454722783421888,13.935371864287356,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,Human-seam_mm,150.03259508065324,150.03259508065324,150.03259508065324,1,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,IDF1,0.084705582886178,0.03580302960839643,0.14433114958913112,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,IDs,5.428571428571429,2.1904761904761907,9.428571428571429,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,Coverage,0.16365079365079366,0.06952380952380953,0.2812738095238094,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,case-macro,Precision,0.08044948901454946,0.03343304350854208,0.1398895558757709,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,W-MPJPE_mm,369.8300267366706,272.470133032922,467.57237258067215,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,WA-MPJPE_mm,216.9348271221619,173.7302746712223,265.6613009045776,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,MPJPE_mm,240.87905991485022,199.55820736593307,284.12698312491216,17,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,PA-MPJPE_mm,118.71037568221591,98.86862027134283,139.45755267892025,17,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,MPVPE_mm,313.0632765749858,256.38833663569574,371.99392824582156,17,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,AdapterShared-W-MPJPE_mm,1102.3581256764664,689.2467344493941,1542.2799438587306,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,AdapterShared-WA-MPJPE_mm,334.4891788364495,257.2316613257451,426.1889017977412,17,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,ATE-Sim3_m,0.09395751206972568,0.053723789082642255,0.14871802706207585,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,ATE-SE3_m,0.1814908616695751,0.12141033978393556,0.24792104333346487,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,RPE-translation_m,0.01631443581400651,0.012988234533647874,0.01999345635765773,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,RPE-rotation_deg,0.1601245003826285,0.14005945560160302,0.17653725869785483,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,Camera-seam-translation_m,1.205157950636793,1.0352994415111443,1.3661088998722901,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,Camera-seam-rotation_deg,13.171488688550955,12.451443201651438,13.908175143593734,8,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,Human-seam_mm,150.03259508065324,150.03259508065324,150.03259508065324,1,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,IDF1,0.08470558288617798,0.036448887768745525,0.14603580481007258,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,IDs,5.428571428571429,2.238095238095238,9.38214285714284,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,Coverage,0.16365079365079366,0.071265873015873,0.28476587301587303,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
small,independent-unit-macro,Precision,0.08044948901454944,0.03411332701530119,0.14183946377949383,21,21,10000,20260903,finite clusters only; no missing-geometry imputation
