split,case_id,angle_stratum,method,is_final_method,gate_enabled,candidate_W-MPJPE_mm,parent_W-MPJPE_mm,candidate_to_parent_W_ratio,W_harm_percent
development,egobody_recording_20210910_S06_S05_02_medium_kinect_12_kinect_11_b02726,medium,v16_0_m15_geometry,False,False,168.672072823711,168.672072823711,1.0,0.0
development,egobody_recording_20210910_S06_S05_02_small_kinect_13_kinect_12_b02726,small,v16_0_m15_geometry,False,False,224.74339912068857,224.74339912068857,1.0,0.0
development,egobody_recording_20210910_S06_S05_03_extreme_kinect_13_kinect_11_b02716,extreme,v16_0_m15_geometry,False,False,347.6951803118056,347.6951803118056,1.0,0.0
development,egobody_recording_20210910_S06_S05_03_medium_kinect_12_kinect_11_b02716,medium,v16_0_m15_geometry,False,False,203.73047140130308,203.73047140130308,1.0,0.0
development,egobody_recording_20210910_S06_S05_03_small_kinect_12_kinect_13_b02716,small,v16_0_m15_geometry,False,False,216.06744662017695,216.06744662017695,1.0,0.0
development,egobody_recording_20210911_S06_S07_01_extreme_kinect_13_kinect_11_b03451,extreme,v16_0_m15_geometry,False,False,230.68676012181302,230.68676012181302,1.0,0.0
development,egobody_recording_20210911_S06_S07_01_medium_kinect_12_kinect_11_b03451,medium,v16_0_m15_geometry,False,False,306.375254022212,306.375254022212,1.0,0.0
development,egobody_recording_20210911_S06_S07_01_small_kinect_13_kinect_12_b03451,small,v16_0_m15_geometry,False,False,248.30401593748874,248.30401593748874,1.0,0.0
development,egobody_recording_20210911_S06_S07_02_extreme_kinect_11_kinect_13_b02246,extreme,v16_0_m15_geometry,False,False,380.9302896422282,380.9302896422282,1.0,0.0
development,egobody_recording_20210911_S06_S07_02_medium_kinect_12_kinect_11_b02246,medium,v16_0_m15_geometry,False,False,191.38002279243116,191.38002279243116,1.0,0.0
development,egobody_recording_20210911_S06_S07_02_small_kinect_13_kinect_12_b02246,small,v16_0_m15_geometry,False,False,230.03856054765416,230.03856054765416,1.0,0.0
development,egobody_recording_20210911_S07_S06_01_extreme_kinect_11_kinect_13_b02166,extreme,v16_0_m15_geometry,False,False,365.66759173400897,365.66759173400897,1.0,0.0
development,egobody_recording_20210911_S07_S06_01_medium_kinect_11_kinect_12_b02166,medium,v16_0_m15_geometry,False,False,209.04606694636246,209.04606694636246,1.0,0.0
development,egobody_recording_20210911_S07_S06_01_small_kinect_13_kinect_12_b02166,small,v16_0_m15_geometry,False,False,240.84823890971688,240.84823890971688,1.0,0.0
development,egobody_recording_20210911_S07_S06_02_extreme_kinect_11_kinect_13_b01351,extreme,v16_0_m15_geometry,False,False,367.0508974975107,367.0508974975107,1.0,0.0
development,egobody_recording_20210911_S07_S06_02_medium_kinect_11_kinect_12_b01351,medium,v16_0_m15_geometry,False,False,191.45356314232723,191.45356314232723,1.0,0.0
development,egobody_recording_20210911_S07_S06_02_small_kinect_12_kinect_13_b01351,small,v16_0_m15_geometry,False,False,230.27655850068496,230.27655850068496,1.0,0.0
development,egobody_recording_20210911_S07_S06_03_extreme_kinect_11_kinect_13_b02231,extreme,v16_0_m15_geometry,False,False,439.3412372208775,439.3412372208775,1.0,0.0
development,egobody_recording_20210911_S07_S06_03_medium_kinect_11_kinect_12_b02231,medium,v16_0_m15_geometry,False,False,247.67080639447948,247.67080639447948,1.0,0.0
development,egobody_recording_20210911_S07_S06_03_small_kinect_13_kinect_12_b02231,small,v16_0_m15_geometry,False,False,232.48049034052184,232.48049034052184,1.0,0.0
development,egobody_recording_20210911_S08_S03_01_extreme_kinect_11_kinect_13_b02986,extreme,v16_0_m15_geometry,False,False,408.46616117304455,408.46616117304455,1.0,0.0
development,egobody_recording_20210911_S08_S03_01_medium_kinect_12_kinect_11_b02986,medium,v16_0_m15_geometry,False,False,163.96891345166998,163.96891345166998,1.0,0.0
development,egobody_recording_20210911_S08_S03_01_small_kinect_12_kinect_13_b02986,small,v16_0_m15_geometry,False,False,223.874962194229,223.874962194229,1.0,0.0
development,egobody_recording_20210911_S08_S03_02_extreme_kinect_13_kinect_11_b02326,extreme,v16_0_m15_geometry,False,False,310.7405314073326,310.7405314073326,1.0,0.0
development,egobody_recording_20210911_S08_S03_02_medium_kinect_12_kinect_11_b02326,medium,v16_0_m15_geometry,False,False,170.30034524775402,170.30034524775402,1.0,0.0
development,egobody_recording_20210911_S08_S03_02_small_kinect_13_kinect_12_b02326,small,v16_0_m15_geometry,False,False,240.71675540976688,240.71675540976688,1.0,0.0
development,egobody_recording_20210911_S08_S03_03_extreme_kinect_11_kinect_13_b03066,extreme,v16_0_m15_geometry,False,False,396.1633893501744,396.1633893501744,1.0,0.0
development,egobody_recording_20210911_S08_S03_03_medium_kinect_12_kinect_11_b03066,medium,v16_0_m15_geometry,False,False,215.52531033457979,215.52531033457979,1.0,0.0
development,egobody_recording_20210911_S08_S03_03_small_kinect_12_kinect_13_b03066,small,v16_0_m15_geometry,False,False,273.23925709818354,273.23925709818354,1.0,0.0
development,egobody_recording_20210918_S05_S06_01_extreme_kinect_13_kinect_11_b02931,extreme,v16_0_m15_geometry,False,False,278.7616918650732,278.7616918650732,1.0,0.0
development,egobody_recording_20210918_S05_S06_01_medium_kinect_12_kinect_13_b02931,medium,v16_0_m15_geometry,False,False,113.11732855307422,113.11732855307422,1.0,0.0
development,egobody_recording_20210918_S05_S06_01_small_kinect_12_kinect_11_b02931,small,v16_0_m15_geometry,False,False,279.54565471933444,279.54565471933444,1.0,0.0
development,egobody_recording_20210918_S05_S06_02_extreme_kinect_11_kinect_13_b02371,extreme,v16_0_m15_geometry,False,False,159.90194312926425,159.90194312926425,1.0,0.0
development,egobody_recording_20210918_S05_S06_02_medium_kinect_13_kinect_12_b02371,medium,v16_0_m15_geometry,False,False,211.53380557095386,211.53380557095386,1.0,0.0
development,egobody_recording_20210918_S05_S06_02_small_kinect_11_kinect_12_b02371,small,v16_0_m15_geometry,False,False,100.05144780254892,100.05144780254892,1.0,0.0
development,egobody_recording_20210918_S05_S06_03_extreme_kinect_13_kinect_11_b01956,extreme,v16_0_m15_geometry,False,False,274.00866966851385,274.00866966851385,1.0,0.0
development,egobody_recording_20210918_S05_S06_03_medium_kinect_12_kinect_13_b01956,medium,v16_0_m15_geometry,False,False,100.26616193597806,100.26616193597806,1.0,0.0
development,egobody_recording_20210918_S05_S06_03_small_kinect_12_kinect_11_b01956,small,v16_0_m15_geometry,False,False,214.7057704944581,214.7057704944581,1.0,0.0
development,egobody_recording_20210918_S05_S06_04_extreme_kinect_13_kinect_11_b03651,extreme,v16_0_m15_geometry,False,False,237.1544618630423,237.1544618630423,1.0,0.0
development,egobody_recording_20210918_S05_S06_04_medium_kinect_13_kinect_12_b03651,medium,v16_0_m15_geometry,False,False,267.329189323821,267.329189323821,1.0,0.0
development,egobody_recording_20210918_S05_S06_04_small_kinect_11_kinect_12_b03651,small,v16_0_m15_geometry,False,False,172.94459913533709,172.94459913533709,1.0,0.0
development,egobody_recording_20210918_S05_S06_05_extreme_kinect_13_kinect_11_b02446,extreme,v16_0_m15_geometry,False,False,288.7799154227822,288.7799154227822,1.0,0.0
development,egobody_recording_20210918_S05_S06_05_medium_kinect_13_kinect_12_b02446,medium,v16_0_m15_geometry,False,False,307.12191752381864,307.12191752381864,1.0,0.0
development,egobody_recording_20210918_S05_S06_05_small_kinect_12_kinect_11_b02446,small,v16_0_m15_geometry,False,False,290.2478227366815,290.2478227366815,1.0,0.0
development,egobody_recording_20210918_S05_S09_01_extreme_kinect_13_kinect_11_b02171,extreme,v16_0_m15_geometry,False,False,205.69477807652845,205.69477807652845,1.0,0.0
development,egobody_recording_20210918_S05_S09_01_medium_kinect_13_kinect_12_b02171,medium,v16_0_m15_geometry,False,False,154.4607968917247,154.4607968917247,1.0,0.0
