dataset,case_id,method,recording,capture,angle_stratum,angle_deg,person_count,status,w_mpjpe_mm,wa_mpjpe_mm,mpjpe_mm,mpvpe_mm,accel_mm_frame2,ate_sim3_m,ate_se3_m,ate_m,idf1,coverage,ids,boundary_camera_translation_m,boundary_camera_rotation_deg,fixed_root_m,post_root_m,seam_root_m,seam_camera_translation_m,seam_camera_rotation_deg,fit_runtime_seconds,world_alignment_available,metric_unavailability_reason
egohumans,ego_test_tagging_003_tagging_medium_cam04_cam02_b00156,r2,,003_tagging,medium,84.48502099585055,4,ok,1566.1977916548296,320.9131046495083,121.8448610740044,140.4617103397262,157.64549045785265,0.04051165100541997,0.3731580597154467,0.3731580597154467,0.696236559139785,0.85,11.0,1.4351510894322324,5.66809956676772,1.2195151486982971,1.4539331090592478,0.11685743896534218,1.366131601113174,5.668075644140346,0.11984039098024368,True,
egohumans,ego_test_tagging_003_tagging_medium_cam04_cam02_b00156,r3,,003_tagging,medium,84.48502099585055,4,icp_failed,2541.846644367502,690.3923746880806,121.84485293068771,140.46170326634547,183.0042676053996,3.1501536755954986,3.1733878525060737,3.1733878525060737,0.5618279569892473,0.85,12.0,6.393108886656254,83.7944785424817,2.128137508035635,3.326245849511944,1.7948104727072385,6.3974520308872,83.7944787513456,51.34808344813064,True,
egohumans,ego_test_tagging_003_tagging_small_cam06_cam02_b00156,r0,,003_tagging,small,42.21388742145035,4,ok,1413.1751776198926,742.1389384253551,123.38796600722411,141.41992334429943,171.07974289789104,1.664617375718854,2.105909152027168,2.105909152027168,0.6114819759679573,0.8575,10.0,4.273618398274173,42.63770608964555,1.4660995252740918,1.5736675457710847,2.2047327097070704,4.270783197978498,42.63770755288561,0.0,True,
egohumans,ego_test_tagging_003_tagging_small_cam06_cam02_b00156,r1,,003_tagging,small,42.21388742145035,4,ok,1515.5649469265177,481.99570213572275,123.38796707169344,141.41992339458622,148.68770385472237,0.07227815992343933,1.0874879983757666,1.0874879983757666,0.7369826435246996,0.8575,5.0,3.9298351628814503,42.63770608964555,1.5789962787931617,1.80835594854103,0.8924514905858155,3.8530479532284887,42.63770755288561,0.008412003982812166,True,
egohumans,ego_test_tagging_003_tagging_small_cam06_cam02_b00156,r2,,003_tagging,small,42.21388742145035,4,ok,1411.8658192370347,304.6285606769965,123.38796681831889,141.41992421778707,135.27877973273465,0.03901784261554536,0.19228460537844544,0.19228460537844544,0.7369826435246996,0.8575,5.0,1.0657499043603762,10.006424485723153,1.5263033040140934,1.6988184312730275,0.2237208837185779,1.1744214155782482,10.006429031143883,0.1135736380238086,True,
egohumans,ego_test_tagging_003_tagging_small_cam06_cam02_b00156,r3,,003_tagging,small,42.21388742145035,4,icp_failed,1413.1751776198926,742.1389384253551,123.38796600722411,141.41992334429943,171.07974289789104,1.664617375718854,2.105909152027168,2.105909152027168,0.6114819759679573,0.8575,10.0,4.273618398274173,42.63770608964555,1.4660995252740918,1.5736675457710847,2.2047327097070704,4.270783197978498,42.63770755288561,55.51594551606104,True,
egohumans,ego_test_tagging_005_tagging_extreme_cam05_cam06_b00221,r0,,005_tagging,extreme,168.44062341745672,4,ok,1755.087714202568,921.8530451781073,94.76466323146062,110.72920050916888,182.4930781293803,1.7792664232014181,4.183906252599094,4.183906252599094,0.5383542538354253,0.9697802197802198,6.0,8.472937693733277,169.08979656670923,1.8669494731363496,3.848333898297625,4.973317800594954,8.471856962483935,169.08981272250975,0.0,True,
egohumans,ego_test_tagging_005_tagging_extreme_cam05_cam06_b00221,r1,,005_tagging,extreme,168.44062341745672,4,ok,1523.152337962981,747.3188139857187,94.7646651486186,110.72920180048611,182.22770911512694,0.06818023243454563,2.9950510541304887,2.9950510541304887,0.5718270571827058,0.9697802197802198,5.0,10.458367112489956,169.08979656670923,1.7565893554506806,3.60332055525963,4.512350401449698,10.242681058492257,169.08981272250975,0.010339319938793778,True,
egohumans,ego_test_tagging_005_tagging_extreme_cam05_cam06_b00221,r2,,005_tagging,extreme,168.44062341745672,4,ok,773.0707413495456,289.6063123933368,94.76466747006363,110.72920595184355,134.19532442919055,0.021626007884802755,0.33423258100751396,0.33423258100751396,0.5718270571827058,0.9697802197802198,5.0,2.8400169773558654,11.583025248645509,0.553642664365722,0.9326275870018289,1.5375310814861165,2.6955908701042297,11.58302398676112,0.11843783897347748,True,
egohumans,ego_test_tagging_005_tagging_extreme_cam05_cam06_b00221,r3,,005_tagging,extreme,168.44062341745672,4,ok,1528.6799919677314,708.6135856170865,94.76466063794568,110.72919922128132,185.35189768058802,0.10599384132438537,3.431208594270461,3.431208594270461,0.5383542538354253,0.9697802197802198,6.0,10.58562545067652,146.01552807357163,1.7829745866474873,3.661899087413546,4.505519849646079,10.487035016219432,146.01553308800766,69.16697578900494,True,
egohumans,ego_test_tagging_005_tagging_large_cam07_cam08_b00221,r0,,005_tagging,large,133.24529135600875,4,ok,683.0774432956977,385.7911752943271,100.37438237924894,117.84483643326574,123.23804684229881,1.7770217302026297,2.707976225652418,2.707976225652418,0.4833110814419226,0.5157068062827225,1.0,5.451605794245412,133.20871302218157,4.481639041978112,4.842400618565831,2.5306625994357224,5.4534641780380015,133.20871191512208,0.0,True,
egohumans,ego_test_tagging_005_tagging_large_cam07_cam08_b00221,r1,,005_tagging,large,133.24529135600875,4,ok,1131.2151613356143,321.92338246652565,100.37438493993331,117.84483955389172,147.73811819393762,0.01656335413339322,0.26404662291519654,0.26404662291519654,0.3604806408544726,0.5157068062827225,1.0,6.54236313816443,133.20871302218157,3.2437468032979697,3.495081441659819,4.736380622626838,5.309033887129878,133.20871191512208,0.006958048092201352,True,
egohumans,ego_test_tagging_005_tagging_large_cam07_cam08_b00221,r2,,005_tagging,large,133.24529135600875,4,ransac_failed,683.0774432956977,385.7911752943271,100.37438237924894,117.84483643326574,123.23804684229881,1.7770217302026297,2.707976225652418,2.707976225652418,0.4833110814419226,0.5157068062827225,1.0,5.451605794245412,133.20871302218157,4.481639041978112,4.842400618565831,2.5306625994357224,5.4534641780380015,133.20871191512208,0.10411551198922098,True,
egohumans,ego_test_tagging_005_tagging_large_cam07_cam08_b00221,r3,,005_tagging,large,133.24529135600875,4,ok,2329.079750361592,336.4619578945517,100.37436935951878,117.84482112865689,177.45777322919108,0.008458815487880095,2.09569458084216,2.09569458084216,0.4833110814419226,0.5157068062827225,1.0,7.382214127956265,115.503377318383,9.596080799182221,10.408947724473066,7.672147297902125,7.741842589225236,115.50337759704912,96.1547427601181,True,
egohumans,ego_test_tagging_005_tagging_medium_cam02_cam04_b00221,r0,,005_tagging,medium,84.48502099585055,4,ok,1654.9281389766402,724.4424379997986,92.38806523774026,109.1533089864551,118.09967795979132,3.171160422248197,3.174345731779592,3.174345731779592,0.4885906040268456,0.8737373737373737,5.0,6.492565271076671,84.96255665913235,2.254379826080012,3.6559194486646547,2.399517345683349,6.48917615021347,84.96255760207141,0.0,True,
egohumans,ego_test_tagging_005_tagging_medium_cam02_cam04_b00221,r1,,005_tagging,medium,84.48502099585055,4,ok,1646.1619542796304,659.9125968841058,92.3880672600236,109.15331156994594,123.2546554525232,0.21156690654661808,2.479651028262952,2.479651028262952,0.7167785234899329,0.8737373737373737,2.0,6.674613581954582,84.96255665913235,2.3549981744683124,3.8681996227033855,2.923654092694482,6.652233036426445,84.96255760207141,0.008160084951668978,True,
egohumans,ego_test_tagging_005_tagging_medium_cam02_cam04_b00221,r2,,005_tagging,medium,84.48502099585055,4,ok,1580.4993538937626,474.5748911187301,92.3880667794862,109.15331203365959,112.444944632474,0.04148009095478594,0.4046362069050039,0.4046362069050039,0.7167785234899329,0.8737373737373737,2.0,2.451481405382085,3.2080258684964638,1.4300576322894787,1.916800673960237,1.2749865556106301,2.16533281607416,3.208024334978903,0.11653559189289808,True,
egohumans,ego_test_tagging_005_tagging_medium_cam02_cam04_b00221,r3,,005_tagging,medium,84.48502099585055,4,icp_failed,1654.9281389766402,724.4424379997986,92.38806523774026,109.1533089864551,118.09967795979132,3.171160422248197,3.174345731779592,3.174345731779592,0.4885906040268456,0.8737373737373737,5.0,6.492565271076671,84.96255665913235,2.254379826080012,3.6559194486646547,2.399517345683349,6.48917615021347,84.96255760207141,97.412074143067,True,
egohumans,ego_test_tagging_005_tagging_small_cam02_cam06_b00221,r0,,005_tagging,small,42.21388742145035,4,ok,1579.8165375214292,499.87338073388594,86.95435750648788,103.36509257826232,115.57497777684591,2.040433496491937,2.118333965724392,2.118333965724392,0.6553191489361702,0.9368131868131868,3.0,4.376112431950144,41.733694666488844,1.6314912943680564,2.364112585766204,1.8209223962867478,4.3800800770244965,41.733694964747066,0.0,True,
